1,レディース,
2,メンズ,
3,ベビー・キッズ,
4,インテリア・住まい・小物,
5,本・音楽・ゲーム,
6,おもちゃ・ホビー・グッズ,
7,コスメ・香水・美容,
8,家電・スマホ・カメラ,
9,スポーツ・レジャー,
10,ハンドメイド,
11,チケット,
12,自動車・オートバイ,
13,その他,
14,トップス,1
15,ジャケット/アウター,1
16,パンツ,1
17,スカート,1
18,ワンピース,1
19,靴,1
20,ルームウェア/パジャマ,1
21,レッグウェア,1
22,帽子,1
23,バッグ,1
24,アクセサリー,1
25,ヘアアクセサリー,1
26,小物,1
27,時計,1
28,ウィッグ/エクステ,1
29,浴衣/水着,1
30,スーツ/フォーマル/ドレス,1
31,マタニティ,1
32,その他,1
33,トップス,2
34,ジャケット/アウター,2
35,パンツ,2
36,靴,2
37,バッグ,2
38,スーツ,2
39,帽子,2
40,アクセサリー,2
41,小物,2
42,時計,2
43,水着,2
44,レッグウェア,2
45,アンダーウェア,2
46,その他,2
47,ベビー服(女の子用)~95cm,3
48,ベビー服(男の子用)~95cm,3
49,ベビー服(男女兼用)~95cm,3
50,キッズ服(女の子用)100cm~,3
51,キッズ服(男の子用)100cm~,3
52,キッズ服(男女兼用)100cm~,3
53,キッズ靴,3
54,子ども用ファッション小物,3
55,おむつ/トイレ/バス,3
56,外出/移動用品,3
57,授乳/食事,3
58,ベビー家具/寝具/室内用品,3
59,おもちゃ,3
60,行事/記念品,3
61,その他,3
62,キッチン/食器,4
63,ベッド/マットレス,4
64,ソファ/ソファベッド,4
65,椅子/チェア,4
66,机/テーブル,4
67,収納家具,4
68,ラグ/カーペット/マット,4
69,カーテン/ブラインド,4
70,ライト/照明,4
71,寝具,4
72,インテリア小物,4
73,季節/年中行事,4
74,その他,4
75,本,5
76,漫画,5
77,雑誌,5
78,CD,5
79,DVD/ブルーレイ,5
80,レコード,5
81,テレビゲーム,5
82,おもちゃ,6
83,タレントグッズ,6
84,コミック/アニメグッズ,6
85,トレーディングカード,6
86,フィギュア,6
87,楽器/器材,6
88,コレクション,6
89,ミリタリー,6
90,美術品,6
91,アート用品,6
92,その他,6
93,ベースメイク,7
94,メイクアップ,7
95,ネイルケア,7
96,香水,7
97,スキンケア/基礎化粧品,7
98,ヘアケア,7
99,ボディケア,7
100,オーラルケア,7
101,リラクゼーション,7
102,ダイエット,7
103,その他,7
104,スマートフォン/携帯電話,8
105,スマホアクセサリー,8
106,PC/タブレット,8
107,カメラ,8
108,テレビ/映像機器,8
109,オーディオ機器,8
110,美容/健康,8
111,冷暖房/空調,8
112,生活家電,8
113,その他,8
114,ゴルフ,9
115,フィッシング,9
116,自転車,9
117,トレーニング/エクササイズ,9
118,野球,9
119,サッカー/フットサル,9
120,テニス,9
121,スノーボード,9
122,スキー,9
123,その他スポーツ,9
124,アウトドア,9
125,その他,9
126,アクセサリー(女性用),10
127,ファッション/小物,10
128,アクセサリー/時計,10
129,日用品/インテリア,10
130,趣味/おもちゃ,10
131,キッズ/ベビー,10
132,素材/材料,10
133,二次創作物,10
134,その他,10
135,音楽,11
136,スポーツ・レジャー,11
137,演劇/芸能,11
138,イベント,11
139,映画,11
140,施設利用券,11
141,優待券/割引券,11
142,その他,11
143,自動車本体,12
144,自動車タイヤ/ホイール,12
145,自動車パーツ,12
146,自動車アクセサリー,12
147,オートバイ車体,12
148,オートバイパーツ,12
149,オートバイアクセサリー,12
150,まとめ売り,13
151,ペット用品,13
152,食品,13
153,飲料/酒,13
154,日用品/生活雑貨/旅行,13
155,アンティーク/コレクション,13
156,文房具/事務用品,13
157,事務/店舗用品,13
158,その他,13
159,Tシャツ/カットソー(半袖/袖なし),14
160,Tシャツ/カットソー(半袖/袖なし),14
161,シャツ/ブラウス(半袖/袖なし),14
162,シャツ/ブラウス(半袖/袖なし),14
163,ポロシャツ,14
164,キャミソール,14
165,タンクトップ,14
166,ホルターネック,14
167,ニット/セーター,14
168,チュニック,14
169,カーディガン/ボレロ,14
170,アンサンブル,14
171,ベスト/ジレ,14
172,パーカー,14
173,トレーナー/スウェット,14
174,ベアトップ/チューブトップ,14
175,ジャージ,14
176,その他,14
177,テーラードジャケット,15
178,ノーカラージャケット,15
179,Gジャン/デニムジャケット,15
180,レザージャケット,15
181,ダウンジャケット,15
182,ライダースジャケット,15
183,ミリタリージャケット,15
184,ダウンベスト,15
185,ジャンパー/ブルゾン,15
186,ポンチョ,15
187,ロングコート,15
188,トレンチコート,15
189,ダッフルコート,15
190,ピーコート,15
191,チェスターコート,15
192,モッズコート,15
193,スタジャン,15
194,毛皮/ファーコート,15
195,スプリングコート,15
196,スカジャン,15
197,その他,15
198,デニム/ジーンズ,16
199,ショートパンツ,16
200,カジュアルパンツ,16
201,ハーフパンツ,16
202,チノパン,16
203,ワークパンツ/カーゴパンツ,16
204,クロップドパンツ,16
205,サロペット/オーバーオール,16
206,オールインワン,16
207,サルエルパンツ,16
208,ガウチョパンツ,16
209,その他,16
210,ミニスカート,17
211,ひざ丈スカート,17
212,ロングスカート,17
213,キュロット,17
214,その他,17
215,ミニワンピース,18
216,ひざ丈ワンピース,18
217,ロングワンピース,18
218,その他,18
219,ハイヒール/パンプス,19
220,ブーツ,19
221,サンダル,19
222,スニーカー,19
223,ミュール,19
224,モカシン,19
225,ローファー/革靴,19
226,フラットシューズ/バレエシューズ,19
227,長靴/レインシューズ,19
228,その他,19
229,パジャマ,20
230,ルームウェア,20
231,ソックス,21
232,スパッツ/レギンス,21
233,ストッキング/タイツ,21
234,レッグウォーマー,21
235,その他,21
236,ニットキャップ/ビーニー,22
237,ハット,22
238,ハンチング/ベレー帽,22
239,キャップ,22
240,キャスケット,22
241,麦わら帽子,22
242,その他,22
243,ハンドバッグ,23
244,トートバッグ,23
245,エコバッグ,23
246,リュック/バックパック,23
247,ボストンバッグ,23
248,スポーツバッグ,23
249,ショルダーバッグ,23
250,クラッチバッグ,23
251,ポーチ/バニティ,23
252,ボディバッグ/ウェストバッグ,23
253,マザーズバッグ,23
254,メッセンジャーバッグ,23
255,ビジネスバッグ,23
256,旅行用バッグ/キャリーバッグ,23
257,ショップ袋,23
258,和装用バッグ,23
259,かごバッグ,23
260,その他,23
261,ネックレス,24
262,ブレスレット,24
263,バングル/リストバンド,24
264,リング,24
265,ピアス(片耳用),24
266,ピアス(両耳用),24
267,イヤリング,24
268,アンクレット,24
269,ブローチ/コサージュ,24
270,チャーム,24
271,その他,24
272,ヘアゴム/シュシュ,25
273,ヘアバンド/カチューシャ,25
274,ヘアピン,25
275,その他,25
276,長財布,26
277,折り財布,26
278,コインケース/小銭入れ,26
279,名刺入れ/定期入れ,26
280,キーケース,26
281,キーホルダー,26
282,手袋/アームカバー,26
283,ハンカチ,26
284,ベルト,26
285,マフラー/ショール,26
286,ストール/スヌード,26
287,バンダナ/スカーフ,26
288,ネックウォーマー,26
289,サスペンダー,26
290,サングラス/メガネ,26
291,モバイルケース/カバー,26
292,手帳,26
293,イヤマフラー,26
294,傘,26
295,レインコート/ポンチョ,26
296,ミラー,26
297,タバコグッズ,26
298,その他,26
299,腕時計(アナログ),27
300,腕時計(デジタル),27
301,ラバーベルト,27
302,レザーベルト,27
303,金属ベルト,27
304,その他,27
305,前髪ウィッグ,28
306,ロングストレート,28
307,ロングカール,28
308,ショートストレート,28
309,ショートカール,28
310,その他,28
311,浴衣,29
312,着物,29
313,振袖,29
314,長襦袢/半襦袢,29
315,水着セパレート,29
316,水着ワンピース,29
317,水着スポーツ用,29
318,その他,29
319,スカートスーツ上下,30
320,パンツスーツ上下,30
321,ドレス,30
322,パーティーバッグ,30
323,シューズ,30
324,ウェディング,30
325,その他,30
326,トップス,31
327,アウター,31
328,インナー,31
329,ワンピース,31
330,パンツ/スパッツ,31
331,スカート,31
332,パジャマ,31
333,授乳服,31
334,その他,31
335,コスプレ,32
336,下着,32
337,その他,32
338,Tシャツ/カットソー(半袖/袖なし),33
339,Tシャツ/カットソー(七分/長袖),33
340,シャツ,33
341,ポロシャツ,33
342,タンクトップ,33
343,ニット/ セーター,33
344,パーカー,33
345,カーディガン,33
346,スウェット,33
347,ジャージ,33
348,ベスト,33
349,その他,33
350,テーラードジャケット,34
351,ノーカラージャケット,34
352,Gジャン/デニムジャケット,34
353,レザージャケット,34
354,ダウンジャケット,34
355,ライダースジャケット,34
356,ミリタリージャケット,34
357,ナイロンジャケット,34
358,フライトジャケット,34
359,ダッフルコート,34
360,ピーコート,34
361,ステンカラーコート,34
362,トレンチコート,34
363,モッズコート,34
364,チェスターコート,34
365,スタジャン,34
366,スカジャン,34
367,ブルゾン,34
368,マウンテンパーカー,34
369,ダウンベスト,34
370,ポンチョ,34
371,カバーオール,34
372,その他,34
373,デニム/ジーンズ,35
374,ワークパンツ/カーゴパンツ,35
375,スラックス,35
376,チノパン,35
377,ショートパンツ,35
378,ペインターパンツ,35
379,サルエルパンツ,35
380,オーバーオール,35
381,その他,35
382,スニーカー,36
383,サンダル,36
384,ブーツ,36
385,モカシン,36
386,ドレス/ビジネス,36
387,長靴/レインシューズ,36
388,デッキシューズ,36
389,その他,36
390,ショルダーバッグ,37
391,トートバッグ,37
392,ボストンバッグ,37
393,リュック/バックパック,37
394,ウエストポーチ,37
395,ボディーバッグ,37
396,ドラムバッグ,37
397,ビジネスバッグ,37
398,トラベルバッグ,37
399,メッセンジャーバッグ,37
400,エコバッグ,37
401,その他,37
402,スーツジャケット,38
403,スーツベスト,38
404,スラックス,38
405,セットアップ,38
406,その他,38
407,キャップ,39
408,ハット,39
409,ニットキャップ/ビーニー,39
410,ハンチング/ベレー帽,39
411,キャスケット,39
412,サンバイザー,39
413,その他,39
414,ネックレス,40
415,ブレスレット,40
416,バングル/リストバンド,40
417,リング,40
